 a b max[expba,impab]
 CAN HUN          3.87664624529
 HUN CAN          19.9370378329
 CAN CZE          31.0131699623
 CZE CAN          176.664307464
 CAN ITA          49.8425945823
 ITA CAN          77.5329249058
 CAN YUG         0.553806606470
 YUG CAN          3.87664624529
 CAN GRC         0.553806606470
 GRC CAN          11.0761321294
 BUL CAN         0.553806606470
 CAN RUS         0.553806606470
 RUS CAN         0.553806606470
 FIN CAN          5.53806606470
 CAN SWD          27.6903303235
 SWD CAN          22.1522642588
 CAN NOR          5.53806606470
 NOR CAN          94.1471230999
 CAN DEN          5.53806606470
 DEN CAN          5.53806606470
 CAN ICE          1.10761321294
 ICE CAN          3.87664624529
 CAN SAF          27.6903303235
 SAF CAN          215.984576523
 CAN IRN         0.553806606470
 IRN CAN          5.53806606470
 CAN TUR          11.0761321294
 TUR CAN          22.1522642588
 CAN IRQ          5.53806606470
 IRQ CAN         0.553806606470
 CAN EGY          5.53806606470
 EGY CAN          28.2441369300
 SYR CAN          5.53806606470
 LEB CAN          2.21522642588
 CAN ISR          2.21522642588
 ISR CAN          67.0105993829
 CAN SAU          143.989717682
 SAU CAN          5.53806606470
 CAN CHN          27.6903303235
 CHN CAN          11.0761321294
 TAW CAN          16.4259039479
 ROK CAN          11.0761321294
 CAN JPN          83.0709909705
 JPN CAN          105.223255229
 CAN IND          188.294246200
 IND CAN          160.603915876
 CAN PAK          11.0761321294
 PAK CAN          44.3045285176
 CAN MYA          16.6141981941
 CAN SRI          110.207514688
 SRI CAN          23.8136840782
 CAN THI          5.53806606470
 THI CAN          5.53806606470
 CAN PHI          33.2283963882
 PHI CAN          55.3806606470
 CAN INS          5.53806606470
 INS CAN          16.6141981941
 CAN AUL          171.680048006
 AUL CAN          182.756180135
 CAN NEW          60.9187267117
 NEW CAN          60.3649201052
 CUB HAI          6.09187267117
 HAI CUB          1.10761321294
 CUB DOM         0.553806606470
 DOM CUB         0.553806606470
 CUB MEX          39.8740756658
 MEX CUB          11.0761321294
 CUB HON          10.9653708081
 HON CUB          3.32283963882
 CUB SAL          7.31024720540
 SAL CUB          3.32283963882
 CUB NIC         0.553806606470
 CUB COS         0.553806606470
 PAN CUB          1.66141981941
 CUB COL          1.66141981941
 COL CUB          2.21522642588
 CUB VEN          2.21522642588
 VEN CUB          16.6141981941
 CUB ECU          1.66141981941
 PER CUB          1.66141981941
 CUB BRA         0.553806606470
 CUB PAR         0.609187267117
 PAR CUB         0.609187267117
 CUB CHL          18.2756180135
 CHL CUB          50.9502077952
 CUB ARG          3.87664624529
 ARG CUB          19.9370378329
 URU CUB          9.41471230999
 CUB UKG          55.3806606470
 UKG CUB          587.035002858
 CUB IRE         0.553806606470
 IRE CUB          27.6903303235
 CUB NTH          12.1837453423
 NTH CUB          182.202373529
 CUB BEL          42.5323473769
 BEL CUB          44.1383865357
 CUB LUX          1.77218114070
 LUX CUB          1.82756180135
 CUB FRN          22.1522642588
 FRN CUB          116.299387359
 CUB SWZ          27.6903303235
 SWZ CUB          71.9948588411
 CUB SPN          44.3045285176
 SPN CUB          21.0446510459
 CUB POR          5.53806606470
 POR CUB          16.6141981941
 CUB GFR          38.7664624529
 GFR CUB          149.527783747
 CUB POL         0.553806606470
 CUB AUS          1.10761321294
 AUS CUB          49.8425945823
 CUB CZE          3.87664624529
 CUB ITA          16.0603915876
 ITA CUB          18.8294246200
 YUG CUB          5.53806606470
 CUB GRC          26.5827171106
 GRC CUB          26.5827171106
 RUS CUB         0.553806606470
 CUB FIN          1.66141981941
 FIN CUB          5.53806606470
 CUB SWD          16.6141981941
 SWD CUB          6.09187267117
 CUB NOR          11.0761321294
 NOR CUB          22.1522642588
 CUB DEN          1.10761321294
 ICE CUB          1.66141981941
 CUB TUR         0.553806606470
 EGY CUB          9.96851891646
 SYR CUB          6.64567927764
 LEB CUB          4.43045285176
 CUB CHN         0.553806606470
 CHN CUB          30.4593633559
 ROK CUB          6.09187267117
 CUB JPN          22.1522642588
 JPN CUB          73.6562786605
 CUB IND          116.963955286
 IND CUB          17.7218114070
 PAK CUB          12.1837453423
 SRI CUB          2.21522642588
 THI CUB          1.66141981941
 DOM HAI         0.553806606470
 HAI MEX          2.21522642588
 MEX HAI          2.21522642588
 COL HAI          1.10761321294
 HAI UKG          9.96851891646
 UKG HAI          7.75329249058
 HAI NTH          1.10761321294
 NTH HAI          17.1680048006
 HAI BEL          4.26431086982
 BEL HAI          33.5052996914
 HAI LUX         0.166141981941
 LUX HAI          1.38451651618
 HAI FRN          3.87664624529
 FRN HAI          1.66141981941
 HAI SWZ          1.10761321294
 SWZ HAI          14.3989717682
 HAI GFR          5.53806606470
 GFR HAI          1.10761321294
